Case	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9:22	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22:9
B1<A2<B2<B3<A1	0.000000	0.006000	0.000000	0.000000	0.001000	0.002000	0.001000	0.001000	0.001000	0.004000	0.002000	0.003000	0.004000	0.001000	0.008000	0.005000	0.001000	0.000000	0.000000	0.000000	0.002000	0.001000
A2<B2<A1<B3<B1	0.002000	0.000000	0.000000	0.001000	0.000000	0.000000	0.004000	0.003000	0.000000	0.001000	0.000000	0.001000	0.001000	0.004000	0.000000	0.000000	0.005000	0.015000	0.001000	0.000000	0.003000	0.001000
A2<A1<B2<B3<B1	0.000000	0.002000	0.000000	0.002000	0.001000	0.000000	0.001000	0.002000	0.000000	0.000000	0.000000	0.002000	0.001000	0.003000	0.000000	0.000000	0.005000	0.014000	0.001000	0.000000	0.002000	0.003000
A1<B2<B3<B1<A2	0.001000	0.000000	0.000000	0.002000	0.000000	0.003000	0.001000	0.001000	0.002000	0.003000	0.002000	0.001000	0.008000	0.001000	0.004000	0.006000	0.001000	0.000000	0.002000	0.000000	0.000000	0.000000
B1<B3<A1<B2<A2	0.000000	0.004000	0.002000	0.003000	0.001000	0.001000	0.003000	0.003000	0.000000	0.006000	0.000000	0.003000	0.000000	0.002000	0.000000	0.000000	0.003000	0.005000	0.000000	0.000000	0.000000	0.002000
A2<B1<A1<B3<B2	0.002000	0.003000	0.000000	0.001000	0.001000	0.001000	0.001000	0.001000	0.000000	0.001000	0.002000	0.001000	0.002000	0.000000	0.004000	0.001000	0.002000	0.000000	0.008000	0.000000	0.000000	0.003000
B1<B3<B2<A1<A2	0.000000	0.004000	0.000000	0.001000	0.000000	0.000000	0.002000	0.000000	0.001000	0.001000	0.001000	0.000000	0.000000	0.007000	0.002000	0.001000	0.006000	0.001000	0.000000	0.000000	0.002000	0.000000
A1<B3<B2<B1<A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.001000	0.002000	0.001000	0.011000	0.001000	0.001000	0.002000	0.001000	0.001000	0.002000	0.000000	0.004000	0.000000
A2<B1<B3<B2<A1	0.001000	0.000000	0.000000	0.002000	0.004000	0.000000	0.001000	0.002000	0.003000	0.000000	0.000000	0.001000	0.002000	0.001000	0.001000	0.002000	0.001000	0.001000	0.001000	0.000000	0.001000	0.001000
A2<B1<B2<B3<A1	0.000000	0.000000	0.000000	0.000000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.000000	0.006000	0.000000	0.006000	0.004000	0.003000	0.000000	0.001000	0.000000	0.000000	0.001000
